order_id,customer_id,order_date,payment_method,order_status
10001,937,29-04-2022,Credit Card,Delivered
10002,902,29-01-2023,Wallet,Returned
10003,25,08-03-2023,Debit Card,Cancelled
10004,653,14-12-2022,Debit Card,Delivered
10005,117,14-09-2023,Wallet,Delivered
10006,482,19-11-2023,Debit Card,Delivered
10007,392,29-04-2022,COD,Shipped
10008,917,21-06-2022,UPI,Delivered
10009,994,17-01-2022,UPI,Delivered
10010,964,05-02-2022,UPI,Delivered
10011,537,22-08-2023,Debit Card,Returned
10012,79,30-08-2022,Debit Card,Delivered
10013,580,20-04-2023,Credit Card,Delivered
10014,173,28-02-2023,Credit Card,Delivered
10015,956,13-09-2022,UPI,Shipped
10016,12,04-05-2023,COD,Delivered
10017,800,11-05-2023,Credit Card,Delivered
10018,128,15-01-2022,Credit Card,Returned
10019,608,28-04-2022,Debit Card,Delivered
10020,92,04-07-2023,COD,Shipped
10021,653,21-04-2022,UPI,Delivered
10022,543,20-04-2022,Credit Card,Delivered
10023,846,24-10-2023,COD,Delivered
10024,532,02-07-2023,COD,Delivered
10025,658,06-09-2022,UPI,Delivered
10026,989,23-02-2022,COD,Delivered
10027,828,21-04-2023,COD,Returned
10028,447,13-09-2022,COD,Delivered
10029,390,21-07-2022,Credit Card,Delivered
10030,672,29-09-2022,UPI,Delivered
10031,861,12-06-2022,COD,Shipped
10032,43,31-05-2022,COD,Delivered
10033,254,04-11-2023,Credit Card,Delivered
10034,130,17-08-2023,UPI,Delivered
10035,60,17-09-2022,Debit Card,Delivered
10036,663,06-07-2023,Credit Card,Delivered
10037,467,02-07-2022,UPI,Shipped
10038,287,10-05-2022,COD,Delivered
10039,517,19-07-2023,UPI,Cancelled
10040,467,05-03-2022,UPI,Delivered
10041,930,02-12-2023,UPI,Delivered
10042,778,19-03-2022,Debit Card,Shipped
10043,345,31-05-2023,UPI,Delivered
10044,642,18-07-2022,Debit Card,Shipped
10045,382,18-12-2022,COD,Delivered
10046,779,25-09-2023,Debit Card,Shipped
10047,690,03-09-2023,COD,Delivered
10048,253,30-06-2023,COD,Delivered
10049,927,17-11-2022,Debit Card,Delivered
10050,56,28-08-2022,Credit Card,Delivered
10051,463,21-06-2023,Wallet,Delivered
10052,457,26-08-2022,UPI,Delivered
10053,983,03-09-2022,Wallet,Delivered
10054,83,19-05-2023,UPI,Delivered
10055,905,09-04-2022,UPI,Returned
10056,99,24-03-2022,COD,Delivered
10057,149,20-05-2023,UPI,Delivered
10058,329,31-01-2022,UPI,Delivered
10059,156,02-10-2023,Debit Card,Delivered
10060,190,09-05-2023,Wallet,Delivered
10061,494,20-09-2023,Debit Card,Delivered
10062,883,19-06-2023,UPI,Shipped
10063,263,03-09-2023,COD,Cancelled
10064,80,31-07-2022,Debit Card,Delivered
10065,400,19-09-2023,Debit Card,Delivered
10066,764,18-11-2023,Credit Card,Delivered
10067,609,06-04-2023,UPI,Delivered
10068,260,01-05-2023,COD,Delivered
10069,772,02-05-2022,Debit Card,Delivered
10070,615,12-01-2022,Debit Card,Delivered
10071,552,22-07-2022,COD,Delivered
10072,785,10-07-2022,UPI,Delivered
10073,101,08-10-2022,Credit Card,Cancelled
10074,359,07-10-2023,Debit Card,Delivered
10075,380,02-09-2023,Credit Card,Cancelled
10076,820,25-04-2022,Wallet,Shipped
10077,221,08-08-2022,UPI,Delivered
10078,820,06-01-2023,Wallet,Delivered
10079,420,15-01-2022,Wallet,Delivered
10080,124,04-02-2023,Wallet,Shipped
10081,422,09-02-2023,UPI,Shipped
10082,231,01-07-2023,UPI,Delivered
10083,690,24-08-2023,COD,Delivered
10084,63,13-05-2022,Credit Card,Returned
10085,485,18-10-2022,Credit Card,Delivered
10086,628,17-09-2022,COD,Returned
10087,703,20-07-2022,COD,Shipped
10088,574,11-06-2023,Wallet,Delivered
10089,768,01-08-2023,COD,Delivered
10090,483,02-04-2023,Debit Card,Delivered
10091,519,21-12-2022,Credit Card,Delivered
10092,155,13-05-2022,COD,Delivered
10093,92,26-06-2023,Debit Card,Returned
10094,982,02-12-2023,Debit Card,Shipped
10095,526,18-05-2022,Debit Card,Shipped
10096,455,24-08-2022,Debit Card,Delivered
10097,741,10-09-2023,Wallet,Cancelled
10098,598,08-10-2022,Debit Card,Returned
10099,645,02-03-2022,Wallet,Delivered
10100,510,25-01-2022,Wallet,Delivered
10101,183,18-01-2023,Debit Card,Delivered
10102,386,18-09-2023,Credit Card,Shipped
10103,574,30-06-2023,Debit Card,Delivered
10104,731,05-02-2023,Debit Card,Returned
10105,405,01-01-2022,Debit Card,Delivered
10106,246,24-08-2023,Credit Card,Returned
10107,742,05-07-2023,UPI,Delivered
10108,591,22-08-2022,UPI,Delivered
10109,661,14-11-2023,Wallet,Delivered
10110,650,13-12-2022,Wallet,Delivered
